index,source_file,source_local_index,start_seconds,end_seconds,duration_seconds,text,filename,path
1,06e_und6-C8.m4a,1,0.000,17.942,17.942,今お父さんのご年齢聞いていいですか？74今年金は受給されてます。もらってるよ。何歳から受給はされてます。10歳からもらってるんですか？年金の受給額聞いていいですか？25万ぐらいだと思うよ。その25万っていう金額は満足されてますね。あ、僕の世代年代だと。,000001_今お父さんのご年齢聞いていいですか？74今年金は受給されてます。もらってるよ。何歳から受給はされてます。10.wav,C:\Users\Administrator\Desktop\asr tts\multilingual_voice_sample_package\all_audio_asr_segments_full\voice\000001_今お父さんのご年齢聞いていいですか？74今年金は受給されてます。もらってるよ。何歳から受給はされてます。10.wav
2,06e_und6-C8.m4a,2,17.942,35.885,17.942,満足じゃない？そう、その過去のご職業ってどういうのなんですかね？商社でええ、サラリーマンとして働いてたっていう。そうそうそうそう。だからね、大きな会社だったから。幸い楽勝ですけど。給料もじゃあ他のなんか同世代の人より多かったんですか。全然もう日本のトップレベルの。,000002_満足じゃない？そう、その過去のご職業ってどういうのなんですかね？商社でええ、サラリーマンとして働いてたってい.wav,C:\Users\Administrator\Desktop\asr tts\multilingual_voice_sample_package\all_audio_asr_segments_full\voice\000002_満足じゃない？そう、その過去のご職業ってどういうのなんですかね？商社でええ、サラリーマンとして働いてたってい.wav
3,06e_und6-C8.m4a,3,35.885,53.827,17.942,商社ってトップだもん。給料も、手取り額で言うとどれぐらいになるんですかね。今はうちの会社は、商社みんな儲かってるもん、もう一兆円とかさ、八千億とかさ。五大商社は利益も僕らの時代でも貿易入れて、税制で。,000003_商社ってトップだもん。給料も、手取り額で言うとどれぐらいになるんですかね。今はうちの会社は、商社みんな儲かっ.wav,C:\Users\Administrator\Desktop\asr tts\multilingual_voice_sample_package\all_audio_asr_segments_full\voice\000003_商社ってトップだもん。給料も、手取り額で言うとどれぐらいになるんですかね。今はうちの会社は、商社みんな儲かっ.wav
4,06e_und6-C8.m4a,4,53.827,71.769,17.942,純利益で二千四五百万だったのが今言った通りさ、六千億三菱商事とか一兆円純利益よ。いや、めちゃめちゃすごいですよね。だから、今の平均商社ってみんな若いから平均四十六歳ぐらいで、男性ものすごい給料上がってると思うよ。いや、僕は僕の時は。,000004_純利益で二千四五百万だったのが今言った通りさ、六千億三菱商事とか一兆円純利益よ。いや、めちゃめちゃすごいです.wav,C:\Users\Administrator\Desktop\asr tts\multilingual_voice_sample_package\all_audio_asr_segments_full\voice\000004_純利益で二千四五百万だったのが今言った通りさ、六千億三菱商事とか一兆円純利益よ。いや、めちゃめちゃすごいです.wav
5,06e_und6-C8.m4a,5,71.769,89.711,17.942,物価安いから、それなりには高かったと思う。なんか、お父さんが過去に後悔してることとか、失敗したなっていうエピソードってあります。まあ、それあるよ。やっぱり先輩からなんとなく教えられた中、まず上に上司に逆らうな。特にメインの仕入れ先にと担当。,000005_物価安いから、それなりには高かったと思う。なんか、お父さんが過去に後悔してることとか、失敗したなっていうエピ.wav,C:\Users\Administrator\Desktop\asr tts\multilingual_voice_sample_package\all_audio_asr_segments_full\voice\000005_物価安いから、それなりには高かったと思う。なんか、お父さんが過去に後悔してることとか、失敗したなっていうエピ.wav
6,06e_und6-C8.m4a,6,89.711,107.654,17.942,その会社の連中とは喧嘩するなと最初は意味分かなかったんだよ。多分、逆らうと相手も大きな会社だから、営業上支障が出るという意味で、後から分かったけどね。数年後に、なんか年金とかお金関係での失敗エピソードとかってなんか。,000006_その会社の連中とは喧嘩するなと最初は意味分かなかったんだよ。多分、逆らうと相手も大きな会社だから、営業上支障.wav,C:\Users\Administrator\Desktop\asr tts\multilingual_voice_sample_package\all_audio_asr_segments_full\voice\000006_その会社の連中とは喧嘩するなと最初は意味分かなかったんだよ。多分、逆らうと相手も大きな会社だから、営業上支障.wav
7,06e_und6-C8.m4a,7,107.654,125.596,17.942,あります。いや、失敗したのは上司に逆ら。言われてたんだけど、性格だよな。あんまり仕事しない上司がいたかなさ。ちょっと部屋呼んでさ。ああ、そう。それが高い。分かってたんだけど。分かってたんだけど、ついついね。,000007_あります。いや、失敗したのは上司に逆ら。言われてたんだけど、性格だよな。あんまり仕事しない上司がいたかなさ。.wav,C:\Users\Administrator\Desktop\asr tts\multilingual_voice_sample_package\all_audio_asr_segments_full\voice\000007_あります。いや、失敗したのは上司に逆ら。言われてたんだけど、性格だよな。あんまり仕事しない上司がいたかなさ。.wav
8,06e_und6-C8.m4a,8,125.596,143.538,17.942,みたいな感じになっちゃったんですかね。言葉上で、まあ話。容姿だから、それは気に入らないだろうな。なんか今の岸田政府とか国会に言いたいことってあります。いや、まあ、こう、まあ、政治家はこう、つぶんになったよね。角江さんとかね、悪いことをした人いっぱいいるけど、浜子とか、まあ、時代だろうね。,000008_みたいな感じになっちゃったんですかね。言葉上で、まあ話。容姿だから、それは気に入らないだろうな。なんか今の岸.wav,C:\Users\Administrator\Desktop\asr tts\multilingual_voice_sample_package\all_audio_asr_segments_full\voice\000008_みたいな感じになっちゃったんですかね。言葉上で、まあ話。容姿だから、それは気に入らないだろうな。なんか今の岸.wav
9,06e_und6-C8.m4a,9,143.538,161.480,17.942,まあ裏金問題とかまあいろいろあるじゃないですか、今そのたやっぱり日本良くなってほしいなみたいな思いってあります。このままでいい。今ねランクを突するから日本のランクもさ三十年低迷とかやつでね。給料上がらなかったりとかね。アメリカの次にね経済大国と言われてさ、まあまあ下がりに下がって。,000009_まあ裏金問題とかまあいろいろあるじゃないですか、今そのたやっぱり日本良くなってほしいなみたいな思いってありま.wav,C:\Users\Administrator\Desktop\asr tts\multilingual_voice_sample_package\all_audio_asr_segments_full\voice\000009_まあ裏金問題とかまあいろいろあるじゃないですか、今そのたやっぱり日本良くなってほしいなみたいな思いってありま.wav
10,06e_und6-C8.m4a,10,161.480,179.423,17.942,てるから弱ってるなとは思ってるけど。ちなみに、お父さん、今、一億円もらえるか、二十歳に戻れるかの二択だったら、どっち選びますか。いや、それは、それは一億だよ。本当ですか?。一億。意味がわかんない。まあ、配得はもう、自分、昔の話だから、他の方がいいよね。ここインタビューすると。,000010_てるから弱ってるなとは思ってるけど。ちなみに、お父さん、今、一億円もらえるか、二十歳に戻れるかの二択だったら.wav,C:\Users\Administrator\Desktop\asr tts\multilingual_voice_sample_package\all_audio_asr_segments_full\voice\000010_てるから弱ってるなとは思ってるけど。ちなみに、お父さん、今、一億円もらえるか、二十歳に戻れるかの二択だったら.wav
